Variable,Null,Unique_Count,Data_type,Max/Min,Mean,Std,Skewness
customer_id,0,971,int64,357670/579,305689.6071794872,40028.4586932066,-5.476237887660528
merchant_id,0,972,object,-,-,-,-
days_since_last_txn,0,77,int64,112/1,14.582564102564103,17.210948224851084,2.3457337597127785
days_since_first_txn,0,185,int64,406/1,52.19076923076923,55.43624375891295,1.797495011982236
txn_days_range,0,126,int64,375/0,37.60820512820513,52.76154499973158,2.0121210840265418
txn_count_7d,0,75,float64,206.0/0.0,8.248205128205129,19.99429935078299,5.183802444041904
sum_amount_7d,0,424,float64,7939196.0/0.0,74405.63794871795,322145.0756874656,16.390546243074176
avg_amount_7d,0,425,float64,100742.0/0.0,3717.7485853769135,8890.192904741365,5.4680051434700285
max_amount_7d,0,416,float64,208500.0/0.0,7654.837948717949,19219.20172646252,4.982777510135982
min_amount_7d,0,365,float64,68059.0/0.0,1401.4697435897435,4524.741883440787,9.382135833548329
std_amount_7d,0,352,float64,66736.44/0.0,1931.1981628290073,5812.389693265113,5.850708558901007
cv_amount_7d,0,352,float64,2.32/0.0,0.2006364836597961,0.32504827047590723,1.8226019777115572
mean_abs_z_7d,0,315,float64,1.0/0.0,0.29736136406565306,0.4004663853699684,0.6563361686066097
max_abs_z_7d,0,315,float64,8.65/0.0,0.8035742612736726,1.2369574663021274,1.7016166395218562
active_days_7d,0,4,float64,3.0/0.0,0.4687179487179487,0.5575650139676233,0.6933738816856664
active_days_ratio_7d,0,4,float64,0.43/0.0,0.06695970695970695,0.0796521448525176,0.6933738816856669
avg_txn_per_day_7d,0,75,float64,29.43/0.0,1.1783150183150184,2.856328478683284,5.1838024440419055
amount_min_max_ratio_7d,0,349,float64,1.0/0.0,0.1585421345529153,0.30022667973631184,1.962704026941561
txn_count_1m,0,171,float64,310.0/0.0,41.713846153846156,47.67479632249195,1.7755560638328407
sum_amount_1m,0,858,float64,10111626.0/0.0,382604.76,781491.0751926681,5.726757161217436
avg_amount_1m,0,858,float64,150420.0/0.0,8158.850495139423,12517.722346263236,4.997612082483093
max_amount_1m,0,843,float64,495806.0/0.0,23883.97435897436,37292.972490194086,4.881614078419017
min_amount_1m,0,593,float64,150420.0/0.0,1655.6707692307693,5556.509918986153,20.4951393147751
std_amount_1m,0,840,float64,133400.73/0.0,5257.896980396845,9246.166463712287,5.644117359315962
cv_amount_1m,0,840,float64,3.33/0.0,0.5459637718703534,0.41304254128842066,1.7241555354151474
mean_abs_z_1m,0,823,float64,1.0/0.0,0.6558234433636704,0.28438660338230054,-1.5107928406400435
max_abs_z_1m,0,823,float64,10.03/0.0,2.6480935990677517,1.786848849536649,0.9278903016496935
active_days_1m,0,7,float64,7.0/0.0,1.5384615384615385,1.0103711133853464,0.8583950730084771
active_days_ratio_1m,0,7,float64,0.23/0.0,0.05128205128205128,0.03367903711284488,0.8583950730084776
avg_txn_per_day_1m,0,171,float64,10.33/0.0,1.3904615384615382,1.5891598774163982,1.775556063832842
amount_min_max_ratio_1m,0,814,float64,1.0/0.0,0.124872519491011,0.19927252867145384,2.6709362115804063
txn_count_3m,0,188,float64,310.0/0.0,59.514871794871794,50.98652572294653,1.3419584399000635
sum_amount_3m,0,966,float64,15200047.0/0.0,564755.3446153846,1022849.643019113,6.343512589217596
avg_amount_3m,0,966,float64,334468.12/0.0,11011.804994174012,18590.502436942374,7.910480933818401
max_amount_3m,0,950,float64,558590.0/0.0,33197.108717948715,45956.65987589997,4.546794414082687
min_amount_3m,0,649,float64,207100.0/0.0,2412.33641025641,10466.53977040942,13.801704630187986
std_amount_3m,0,959,float64,109705.46/0.0,7054.076469677064,10935.477521062567,4.367354515056207
cv_amount_3m,0,959,float64,3.33/0.0,0.6579608613180503,0.396012094882683,2.269239339951782
mean_abs_z_3m,0,947,float64,1.0/0.0,0.731979136755123,0.15203024438758078,-1.923747174731972
max_abs_z_3m,0,947,float64,11.84/0.0,3.356435308734192,1.7399709615428836,1.3271588985747276
active_days_3m,0,15,float64,14.0/0.0,2.6143589743589746,2.1396326073449456,2.0099294685752693
active_days_ratio_3m,0,15,float64,0.16/0.0,0.029048433048433044,0.023773695637166067,2.0099294685752698
avg_txn_per_day_3m,0,188,float64,3.44/0.0,0.6612763532763533,0.5665169524771837,1.3419584399000632
amount_min_max_ratio_3m,0,914,float64,1.0/0.0,0.09564224810569723,0.14883842081267135,3.4383323621790605
txn_count_6m,0,201,int64,325/1,66.62461538461538,55.32913102953395,1.2912801370739084
sum_amount_6m,0,970,int64,15457623/3,636779.5846153846,1120556.7085937548,6.009533704701127
avg_amount_6m,0,971,float64,298331.36/1.5,11150.775416895556,18066.143619555016,6.846806984447927
max_amount_6m,0,956,int64,558590/2,34811.52717948718,47660.95998288079,4.277180667725051
min_amount_6m,0,636,int64,171490/0,2166.0871794871796,8202.212953607974,12.819001831487109
std_amount_6m,0,965,float64,122946.68/0.0,7263.976633588876,11185.378461833036,4.278394431342883
cv_amount_6m,0,965,float64,3.33/0.0,0.6679521403640907,0.39278631093072436,2.315071283092098
mean_abs_z_6m,0,955,float64,1.0/0.0,0.733267933654355,0.13988455291578455,-1.6511845078233154
max_abs_z_6m,0,955,float64,11.84/0.0,3.4917246636148485,1.7599874201082875,1.3086663383521604
active_days_6m,0,19,int64,30/1,3.1364102564102563,2.984707332430486,2.5706448041868213
active_days_ratio_6m,0,19,float64,0.17/0.01,0.017424501424501422,0.016581707402391586,2.5706448041868226
avg_txn_per_day_6m,0,201,float64,1.81/0.01,0.3701367521367521,0.3073840612751886,1.291280137073908
amount_min_max_ratio_6m,0,912,float64,1.0/0.0,0.0881362388975834,0.14229527088466998,3.679083438340078
txn_count_overall,0,210,int64,487/1,69.60102564102564,60.96639427569778,1.6575989123578263
sum_amount_overall,0,971,int64,15457623/3,668041.8235897436,1180341.8388520062,5.540356697056357
