Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.00)",257,0.2069243156199678,189,68,0.26459143968871596,-0.5415198719173597,0.07161487185461751,0.008844059733418203
"[0.00, 0.02)",65,0.05233494363929147,53,12,0.18461538461538463,-0.07837391803677396,0.00032974511381609554,4.120759324810139e-05
"[0.02, 0.06)",83,0.06682769726247988,79,4,0.04819277108433735,1.4193943095462354,0.08277684166584486,0.009557559003635151
"[0.06, 0.15)",165,0.13285024154589373,144,21,0.12727272727272726,0.36153168005168235,0.015379484480539175,0.0019120338300174632
"[0.15, 0.36)",264,0.21256038647342995,228,36,0.13636363636363635,0.2820675086974356,0.01539072640921493,0.001917488365719448
"[0.36, 0.46)",109,0.08776167471819646,93,16,0.14678899082568808,0.19625158911257934,0.003166796096139672,0.0003952154820004985
"[0.46, 1.00)",232,0.18679549114331723,190,42,0.1810344827586207,-0.054404727923777596,0.0005627608006064557,7.033642583192988e-05
"[1.00, inf)",67,0.05394524959742351,51,16,0.23880597014925373,-0.40452227131635077,0.010015729975709292,0.0012434992503878054
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.199236956396488,0.0239813996842586
