Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 2055.12)",73,0.05877616747181964,54,19,0.2602739726027397,-0.5192141144030613,0.018583587989979364,0.002297202369878984
"[2055.12, 3377.56)",196,0.15780998389694043,161,35,0.17857142857142858,-0.03770287830584618,0.00022710005727576653,2.838582590223757e-05
"[3377.56, 4318.59)",131,0.10547504025764895,110,21,0.16030534351145037,0.09219874626809799,0.0008697719185545959,0.00010868299789345594
"[4318.59, 6671.00)",249,0.20048309178743962,212,37,0.14859437751004015,0.18190918022689284,0.0062455718634092175,0.0007796218445832066
"[6671.00, 8776.91)",135,0.10869565217391304,119,16,0.11851851851851852,0.4427755890708527,0.01835431700715797,0.0022757299324410087
"[8776.91, 10660.72)",77,0.061996779388083734,71,6,0.07792207792207792,0.9071612260123652,0.037399011074887606,0.004520896815366276
"[10660.72, 13057.40)",74,0.05958132045088567,70,4,0.05405405405405406,1.2984416991285732,0.06434432676735058,0.007521744624663771
"[13057.40, 20805.12)",129,0.10386473429951691,107,22,0.17054263565891473,0.018027199302694807,3.355530406198965e-05,4.194356212844765e-06
"[20805.12, 32878.11)",79,0.06360708534621579,60,19,0.24050632911392406,-0.4138535987452352,0.012394709578597589,0.0015383757463088158
"[32878.11, inf)",99,0.07971014492753623,63,36,0.36363636363636365,-1.0041433938654727,0.10653774727966499,0.012784494463572688
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.26498969884093965,0.03185932897682329
