Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.47)",220,0.17713365539452497,164,56,0.2545454545454545,-0.489244444711846,0.049304442307592684,0.006102315377028541
"[0.47, 0.75)",170,0.13687600644122383,133,37,0.21764705882352942,-0.284327966223366,0.012109418692350882,0.0015085991366312283
"[0.75, 0.86)",119,0.09581320450885668,106,13,0.1092436974789916,0.5347305548496348,0.02285872922816832,0.0028237780667152244
"[0.86, 0.93)",99,0.07971014492753623,95,4,0.04040404040404041,1.6038233486797546,0.11851898997037004,0.013406779564174095
"[0.93, 1.00)",91,0.07326892109500806,79,12,0.13186813186813187,0.3207820208781258,0.006771427274350422,0.0008428178781317635
"[1.00, 1.43)",381,0.30676328502415456,325,56,0.14698162729658792,0.19471430979369297,0.010902167124745479,0.0013606221452366583
"[1.43, 1.97)",96,0.07729468599033816,78,18,0.1875,-0.09742211300746839,0.0007571221028546254,9.460285405953517e-05
"[1.97, inf)",66,0.05314009661835749,47,19,0.2878787878787879,-0.6580505592572773,0.028038041083727556,0.0034428572326625495
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.24926033778416,0.029582372254639597
