Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.22)",119,0.09581320450885668,95,24,0.20168067226890757,-0.1879361205483001,0.0035943671432959964,0.00044863584489381915
"[0.22, 0.30)",66,0.05314009661835749,56,10,0.15151515151515152,0.15900741594020817,0.0012746229759931541,0.0001591602362465089
"[0.30, 0.35)",92,0.07407407407407407,87,5,0.05434782608695652,1.2927110244195883,0.07944606599204643,0.00929234873424309
"[0.35, 0.45)",190,0.1529790660225443,168,22,0.11578947368421053,0.4691623442440478,0.028739792433346113,0.0035598844746546603
"[0.45, 0.60)",245,0.1972624798711755,212,33,0.1346938775510204,0.29631953140463674,0.01568659678263082,0.00195368216510587
"[0.60, 0.69)",133,0.107085346215781,110,23,0.17293233082706766,0.0012269680623711032,1.611470474344382e-07,2.0143379677654252e-08
"[0.69, 0.88)",172,0.13848631239935588,140,32,0.18604651162790697,-0.08785266199131758,0.0010997249054324038,0.0001374214230648982
"[0.88, inf)",225,0.18115942028985507,159,66,0.29333333333333333,-0.6845097216070893,0.10415286391537054,0.012770744297166056
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.2339941952951629,0.02832189731875458
