Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.02)",155,0.1247987117552335,124,31,0.2,-0.17746482068100478,0.004160844983879727,0.0005194241924465588
"[0.02, 0.09)",86,0.06924315619967794,83,3,0.03488372093023256,1.756469137327593,0.1174453039718511,0.013043754420173847
"[0.09, 0.15)",128,0.10305958132045089,117,11,0.0859375,0.8005194801984903,0.05024161117995822,0.00611770703247454
"[0.15, 0.22)",177,0.14251207729468598,161,16,0.0903954802259887,0.7450564609437862,0.06135441511442615,0.007496696068741798
"[0.22, 0.26)",87,0.07004830917874397,75,12,0.13793103448275862,0.26882228194741487,0.004627583133000263,0.0005767124199363835
"[0.26, 0.32)",134,0.10789049919484701,114,20,0.14925373134328357,0.17670699303960924,0.0031771325937693805,0.0003966256758714615
"[0.32, 0.44)",159,0.1280193236714976,126,33,0.20754716981132076,-0.2239848363158976,0.0068989419251575855,0.0008605695710765917
"[0.44, 0.55)",107,0.0861513687600644,79,28,0.2616822429906542,-0.5265158395090777,0.02806828625647677,0.003468562951102894
"[0.55, inf)",209,0.1682769726247987,148,61,0.291866028708134,-0.6774207722100917,0.09457598399003869,0.01160101452310533
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.3705501031485579,0.0440810668549294
