Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.03)",256,0.20611916264090177,242,14,0.0546875,1.2861212147405325,0.219311319840631,0.025668147587608933
"[0.03, 0.05)",134,0.10789049919484701,119,15,0.11194029850746269,0.5073141102084242,0.023389224165765072,0.0028926987606420797
"[0.05, 0.07)",172,0.13848631239935588,147,25,0.14534883720930233,0.2077975801096401,0.005580669142683208,0.0006963312818357194
"[0.07, 0.08)",127,0.10225442834138486,100,27,0.2125984251968504,-0.2544258618171331,0.0071774583603583415,0.0008947702306118122
"[0.08, 0.16)",309,0.24879227053140096,243,66,0.21359223300970873,-0.2603524804867725,0.018319768525726265,0.0022835253204777015
"[0.16, 0.22)",95,0.07648953301127215,69,26,0.2736842105263158,-0.587749215225118,0.03158814309946096,0.0038926479028294613
"[0.22, inf)",149,0.11996779388083736,107,42,0.28187919463087246,-0.6285999656223574,0.05730435772746285,0.007047393557597266
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.36267094086208773,0.043375514641602976
