Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 1.65)",212,0.1706924315619968,157,55,0.25943396226415094,-0.5148465616850582,0.05299908220874247,0.006552673176549919
"[1.65, 1.94)",156,0.12560386473429952,119,37,0.23717948717948717,-0.3955536013335903,0.022238637743507594,0.0027618478346027684
"[1.94, 2.18)",153,0.12318840579710146,117,36,0.23529411764705882,-0.3851041854592492,0.02060993256299427,0.0025604391006464108
"[2.18, 2.34)",93,0.0748792270531401,76,17,0.1827956989247312,-0.06623918557078023,0.0003356882708892608,4.195336431541156e-05
"[2.34, 2.46)",66,0.05314009661835749,55,11,0.16666666666666666,0.045678730633204934,0.0001092292736773724,1.3652472292085605e-05
"[2.46, 3.31)",328,0.2640901771336554,291,37,0.11280487804878049,0.4986461727263727,0.05547764715108836,0.006863741516944456
"[3.31, 3.69)",63,0.050724637681159424,60,3,0.047619047619047616,1.4319730917530955,0.06367855704319941,0.0073426190620030024
"[3.69, 4.19)",66,0.05314009661835749,61,5,0.07575757575757576,0.9376767699383155,0.033888094128791284,0.004087342483490844
"[4.19, inf)",105,0.08454106280193237,91,14,0.13333333333333333,0.308042995100696,0.0072363352985091375,0.000900982443684804
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.2565732036813992,0.031125251454529705
