Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 5563.56)",92,0.07407407407407407,73,19,0.20652173913043478,-0.21773871981894466,0.003764980105834245,0.0004696950329575013
"[5563.56, 10855.00)",272,0.21900161030595813,224,48,0.17647058823529413,-0.0233141408537465,0.00011994684907432316,1.4993016575760984e-05
"[10855.00, 18441.50)",235,0.1892109500805153,206,29,0.12340425531914893,0.39682115700221177,0.02607135039800313,0.003237703564213037
"[18441.50, 23842.41)",120,0.0966183574879227,113,7,0.058333333333333334,1.217718487856132,0.09433795635636417,0.011113729817818241
"[23842.41, 37941.46)",166,0.13365539452495975,144,22,0.13253012048192772,0.3150116644167893,0.01193536190082136,0.0014857820675920341
"[37941.46, 67518.62)",170,0.13687600644122383,141,29,0.17058823529411765,0.017704878590798945,4.265752772946627e-05,5.3321213238042295e-06
"[67518.62, 120356.20)",109,0.08776167471819646,76,33,0.30275229357798167,-0.7295334029810446,0.057988001882748656,0.00709191820745448
"[120356.20, inf)",78,0.06280193236714976,50,28,0.358974358974359,-0.9839406865479533,0.08023747651539795,0.00964371920411118
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.27449773153597334,0.03306287303204604
