Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 7012.00)",145,0.11674718196457327,117,28,0.19310344827586207,-0.13378975717834307,0.002181911259252345,0.0002725356749356594
"[7012.00, 10855.00)",197,0.15861513687600645,160,37,0.18781725888324874,-0.0995032792112931,0.001621848698541442,0.0002026474945007687
"[10855.00, 18436.50)",228,0.18357487922705315,200,28,0.12280701754385964,0.4023536745719376,0.025955597656768088,0.00322274037178389
"[18436.50, 22923.00)",109,0.08776167471819646,102,7,0.06422018348623854,1.1153034824280623,0.07445795445969097,0.008852994820475694
"[22923.00, 37941.46)",183,0.1473429951690821,160,23,0.12568306010928962,0.3759204175037818,0.018351242862585836,0.0022804931661126165
"[37941.46, 75499.50)",203,0.16344605475040258,169,34,0.16748768472906403,0.03977900850601679,0.0002552788888522695,3.1907757390012975e-05
"[75499.50, inf)",177,0.14251207729468598,119,58,0.327683615819209,-0.8450786992357852,0.1300542074623819,0.015789668982551467
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.25287804128807284,0.03065298826775011
