Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.51)",63,0.050724637681159424,52,11,0.1746031746031746,-0.010410736017838484,5.516433568475041e-06,6.895510820632085e-07
"[0.51, 0.63)",94,0.07568438003220612,84,10,0.10638297872340426,0.5644725240483726,0.019914589625854583,0.002456792592229298
"[0.63, 0.68)",94,0.07568438003220612,88,6,0.06382978723404255,1.1218181634492561,0.06481807988625984,0.007702460048203803
"[0.68, 0.71)",91,0.07326892109500806,78,13,0.14285714285714285,0.2280002874271596,0.003530413635168855,0.0004403483200789817
"[0.71, 0.78)",292,0.23510466988727857,248,44,0.1506849315068493,0.16547993044582565,0.006094439864973409,0.0007609369644565548
"[0.78, 0.84)",344,0.27697262479871176,274,70,0.20348837209302326,-0.199126317462184,0.011705620799615724,0.0014607899711745111
"[0.84, 0.87)",141,0.11352657004830918,109,32,0.22695035460992907,-0.3381472023714782,0.01443984498159312,0.0017964299943331128
"[0.87, inf)",123,0.09903381642512077,94,29,0.23577235772357724,-0.38776022951736544,0.01681134338973185,0.002088350900372366
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.13731984861676585,0.01670679834193069
