Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 623.10)",325,0.2616747181964573,256,69,0.2123076923076923,-0.2526882419185923,0.018107769533651334,0.0022574684479450408
"[623.10, 1814.60)",244,0.1964573268921095,214,30,0.12295081967213115,0.4010194515588006,0.027605786389319854,0.003427785400883213
"[1814.60, 2559.45)",105,0.08454106280193237,93,12,0.11428571428571428,0.48393366156436013,0.016812368913114325,0.0020812764007917964
"[2559.45, 3611.30)",125,0.10064412238325282,121,4,0.032,1.8457370026759552,0.1831233917602507,0.020110233093967304
"[3611.30, 6087.14)",169,0.1360708534621578,141,28,0.16568047337278108,0.05279619840206906,0.00037276906459919525,4.65907220016052e-05
"[6087.14, 16335.11)",186,0.1497584541062802,150,36,0.1935483870967742,-0.13664282616074952,0.0029221594852066775,0.0003649860318982543
"[16335.11, inf)",88,0.07085346215780998,52,36,0.4090909090909091,-1.1960344016755782,0.13970752151453325,0.016491730533258645
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.38865176666067536,0.044780070630745857
