Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 3303.00)",195,0.1570048309178744,145,50,0.2564102564102564,-0.4990484448084669,0.04559816296737314,0.0056413503717862475
"[3303.00, 22261.00)",305,0.24557165861513688,249,56,0.18360655737704917,-0.07165797607133673,0.0012906581410552607,0.00016129775901239148
"[22261.00, 34698.50)",133,0.107085346215781,115,18,0.13533834586466165,0.2908011886661901,0.008216791359291502,0.0010234951131760364
"[34698.50, 63890.50)",179,0.14412238325281804,156,23,0.12849162011173185,0.35060260951949207,0.015749766915712237,0.001958699120762776
"[63890.50, 80983.49)",96,0.07729468599033816,90,6,0.0625,1.1442910193013147,0.06834496484475323,0.008105548154418416
"[80983.49, 149321.49)",170,0.13687600644122383,142,28,0.16470588235294117,0.05986336562516148,0.0004809565481716288,6.011059321958494e-05
"[149321.49, inf)",164,0.1320450885668277,130,34,0.2073170731707317,-0.22258525596147405,0.007024179993838695,0.0008762144390953887
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.14670548077019568,0.01782671555147084
