Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, -0.69)",193,0.15539452495974235,137,56,0.29015544041450775,-0.6691299467079196,0.08502424725338693,0.010434093326262474
"[-0.69, -0.58)",141,0.11352657004830918,115,26,0.18439716312056736,-0.0769235914591273,0.0006887431911174778,8.607167882392899e-05
"[-0.58, -0.46)",229,0.18438003220611915,192,37,0.1615720524017467,0.0828182775826618,0.0012306187303218331,0.00015378339464065284
"[-0.46, -0.31)",343,0.27616747181964574,305,38,0.11078717201166181,0.5189664350801304,0.0623991299333909,0.0077135234203956175
"[-0.31, -0.24)",91,0.07326892109500806,86,5,0.054945054945054944,1.281150202018512,0.07748810465323352,0.009073591783061729
"[-0.24, -0.08)",147,0.11835748792270531,123,24,0.16326530612244897,0.07037134322357663,0.0005727103270884572,7.157402301308105e-05
"[-0.08, inf)",98,0.07890499194847021,69,29,0.29591836734693877,-0.6969485071901099,0.047181840472261816,0.005781191235571987
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.2745853945608009,0.03331382886176947
