Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 54335.00)",105,0.08454106280193237,71,34,0.3238095238095238,-0.8274398293757415,0.0736472225118156,0.008951955867247629
"[54335.00, 95617.07)",142,0.1143317230273752,112,30,0.2112676056338028,-0.2464576921679562,0.007511878210594621,0.0009366155019105036
"[95617.07, 439120.50)",509,0.40982286634460546,435,74,0.14538310412573674,0.2075217560836189,0.016472606231188545,0.0020553889383637877
"[439120.50, 526568.00)",63,0.050724637681159424,60,3,0.047619047619047616,1.4319730917530955,0.06367855704319941,0.0073426190620030024
"[526568.00, 753650.50)",120,0.0966183574879227,107,13,0.10833333333333334,0.5441202951994741,0.023789938315960792,0.002937592431835343
"[753650.50, 1235832.50)",140,0.11272141706924316,112,28,0.2,-0.17746482068100478,0.0037581825660849087,0.0004691573351130202
"[1235832.50, inf)",163,0.13123993558776167,130,33,0.20245398773006135,-0.19273229281179316,0.005185673112451546,0.0006472077401121464
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.19404405799129543,0.02334053687658543
