Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 4.50)",142,0.1143317230273752,104,38,0.2676056338028169,-0.5569544423859083,0.042038009722622005,0.005187870137053706
"[4.50, 10.50)",157,0.12640901771336555,122,35,0.2229299363057325,-0.31508619855705255,0.013863193401334958,0.0017257661939685583
"[10.50, 17.50)",148,0.11916264090177134,126,22,0.14864864864864866,0.18148027179226678,0.003695275478263769,0.00046127660060123806
"[17.50, 33.50)",222,0.178743961352657,190,32,0.14414414414414414,0.21752898755986427,0.007867514298376736,0.0009815048954218766
"[33.50, 51.50)",190,0.1529790660225443,163,27,0.14210526315789473,0.23415415300153786,0.007758301593529357,0.0009675782682011178
"[51.50, 61.50)",110,0.08856682769726248,104,6,0.05454545454545454,1.2888722481124226,0.09455018081531223,0.011063153509228983
"[61.50, 85.50)",135,0.10869565217391304,121,14,0.1037037037037037,0.5929740341805871,0.03125127979782837,0.00385016572266674
"[85.50, 146.50)",72,0.057971014492753624,59,13,0.18055555555555555,-0.051171095356712604,0.00015434410229646394,1.9290908129796554e-05
"[146.50, inf)",66,0.05314009661835749,38,28,0.42424242424242425,-1.2583775322497135,0.11732053114237723,0.013768128312425335
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.31849863035194115,0.03802473454769735
