Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, -0.68)",167,0.13446054750402575,122,45,0.2694610778443114,-0.5664006268379587,0.05126476541453592,0.00632378902468279
"[-0.68, -0.63)",69,0.05555555555555555,51,18,0.2608695652173913,-0.5223053069727341,0.01779062165142065,0.0021988897682477344
"[-0.63, -0.50)",214,0.1723027375201288,177,37,0.17289719626168223,0.001472638128709347,3.734867199914681e-07,4.66858357803582e-08
"[-0.50, -0.44)",170,0.13687600644122383,149,21,0.12352941176470589,0.39566468642114083,0.018757808643176114,0.0023295502976679906
"[-0.44, -0.41)",63,0.050724637681159424,57,6,0.09523809523809523,0.6875326168056,0.018972107670553292,0.0023258811831292454
"[-0.41, -0.39)",69,0.05555555555555555,65,4,0.057971014492753624,1.224333726974851,0.05471117449360684,0.006441402378296572
"[-0.39, -0.07)",409,0.32930756843800324,351,58,0.14180929095354522,0.2365840311185512,0.01703516456037608,0.0021244433209500584
"[-0.07, inf)",81,0.06521739130434782,55,26,0.32098765432098764,-0.8145225345899064,0.0548794264038135,0.0066763703724776625
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.23341144232420238,0.028420373031287836
