Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.00)",542,0.4363929146537842,408,134,0.24723247232472326,-0.450331807347645,0.10176697322539255,0.01261445920373161
"[0.00, 0.33)",145,0.11674718196457327,122,23,0.15862068965517243,0.1047676470032115,0.0012379193905544669,0.0001546691932350539
"[0.33, 0.90)",142,0.1143317230273752,121,21,0.14788732394366197,0.18750892607242275,0.00377726819216112,0.0004714680334203334
"[0.90, 1.21)",75,0.06038647342995169,64,11,0.14666666666666667,0.19722862876040592,0.002200014096768098,0.00027455690512681163
"[1.21, 1.73)",85,0.06843800322061191,77,8,0.09411764705882353,0.7006046983729526,0.026459285703367454,0.0032413853777865055
"[1.73, 2.93)",126,0.10144927536231885,116,10,0.07936507936507936,0.8872459163114237,0.058947476697939725,0.007135877594388072
"[2.93, 3.96)",63,0.050724637681159424,61,2,0.031746031746031744,1.8539675018124706,0.09287260042819563,0.010188293793572147
"[3.96, inf)",64,0.05152979066022544,58,6,0.09375,0.7049243595174688,0.020138415614846552,0.0024664428712167057
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.3073999533492256,0.03654715297247724
