Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.03)",179,0.14412238325281804,131,48,0.2681564245810056,-0.5597628695076349,0.05356920901051078,0.006610075880914702
"[0.03, 0.06)",131,0.10547504025764895,100,31,0.2366412213740458,-0.39257620029795026,0.018378479574646923,0.0022826705112934022
"[0.06, 0.15)",316,0.25442834138486314,267,49,0.1550632911392405,0.1316691784887276,0.004223097855832823,0.0005275062346851659
"[0.15, 0.18)",86,0.06924315619967794,74,12,0.13953488372093023,0.25539926161527404,0.004147830674814303,0.0005170742582591608
"[0.18, 0.34)",276,0.2222222222222222,244,32,0.11594202898550725,0.4676731406925798,0.04150505135758609,0.005141361721490656
"[0.34, 0.41)",63,0.050724637681159424,62,1,0.015873015873015872,2.5633752032441963,0.14282831061576207,0.014160331753937362
"[0.41, 0.64)",114,0.09178743961352658,96,18,0.15789473684210525,0.11021725177077624,0.0010751928639036782,0.00013433112181345094
"[0.64, inf)",77,0.061996779388083734,53,24,0.3116883116883117,-0.771521098596719,0.04630768832092715,0.005649037534554903
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.3120348602739838,0.035022389016948804
