Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, -5.38)",67,0.05394524959742351,47,20,0.29850746268656714,-0.7093438536448278,0.03352280570088439,0.004104650840193845
"[-5.38, -3.88)",70,0.05636070853462158,61,9,0.12857142857142856,0.34989010503619666,0.006135615075293373,0.0007630634832672947
"[-3.88, -2.88)",94,0.07568438003220612,86,8,0.0851063829787234,0.8111465727727762,0.03774244192236365,0.004592577393434176
"[-2.88, -2.38)",72,0.057971014492753624,66,6,0.08333333333333333,0.8341360909974753,0.030327413502990116,0.0036847105575674687
"[-2.38, -1.38)",201,0.16183574879227053,173,28,0.13930348258706468,0.2573279025216795,0.009834877694710056,0.0012259790143640415
"[-1.38, -0.38)",305,0.24557165861513688,256,49,0.16065573770491803,0.08959796456804048,0.0019140581004390609,0.00023917726515089357
"[-0.38, 2.38)",370,0.29790660225442833,292,78,0.21081081081081082,-0.2437142062222053,0.01912362644417441,0.0023845547847221316
"[2.38, inf)",63,0.050724637681159424,46,17,0.2698412698412698,-0.5683311293680163,0.019481888173666882,0.0024029820915263825
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.15808272661452194,0.019397695430226236
