Score_Band,Count,Good_Count,Bad_Count,Good_Rate,Bad_Rate,Avg_Probability,Min_Probability,Max_Probability
Band_1,195,171,24,0.8769,0.1231,0.008,0.0,0.0877
Band_2,6,5,1,0.8333,0.1667,0.1521,0.1012,0.1903
Band_3,3,2,1,0.6667000000000001,0.3333,0.2596,0.2092,0.2869
Band_4,1,1,0,1.0,0.0,0.3704,0.3704,0.3704
Band_5,5,5,0,1.0,0.0,0.4597,0.4171,0.4939
Band_6,5,4,1,0.8,0.2,0.5316,0.5025,0.56
Band_7,1,1,0,1.0,0.0,0.6856,0.6856,0.6856
Band_8,1,1,0,1.0,0.0,0.7247,0.7247,0.7247
Band_9,3,2,1,0.6667000000000001,0.3333,0.8406,0.8106,0.8578
Band_10,33,15,18,0.4545,0.5455,0.986,0.902,0.9999
